MATR;REND/DESC;RUBRICA;SEQUENCIA;OPERAÇÃO (I/A/E);PRAZO/MÊS REF;VALOR;ASSUNTO DE CALCULO;DOC LEGAL;JUSTIFICATIVA
1400001;REN;82135;1;INCL;1;53,2;21;LEI 10486/02;LANCAMENTO RETROATIVO
1577665;REN;148;1;EXCL;;;;;
105325;desc;82001;6;INCL;jan2020;400;21;LEI 10486/02;LANCAMENTO RETROATIVO
105325;desc;82001;6;INCL;jan2020;400;21;LEI 10486/02;LANCAMENTO RETROATIVO
105325;desc;82001;6;INCL;jan2020;400;21;LEI 10486/02;LANCAMENTO RETROATIVO
105325;desc;82001;6;INCL;jan2020;400;21;LEI 10486/02;LANCAMENTO RETROATIVO
105325;desc;82001;6;INCL;jan2020;400;21;LEI 10486/02;LANCAMENTO RETROATIVO
105325;desc;82001;6;INCL;jan2020;400;21;LEI 10486/02;LANCAMENTO RETROATIVO
105325;desc;82001;6;INCL;jan2020;400;21;LEI 10486/02;LANCAMENTO RETROATIVO
105325;desc;82001;6;INCL;jan2020;400;21;LEI 10486/02;LANCAMENTO RETROATIVO
105325;desc;82001;6;INCL;jan2020;400;21;LEI 10486/02;LANCAMENTO RETROATIVO
105325;desc;82001;6;INCL;jan2020;400;21;LEI 10486/02;LANCAMENTO RETROATIVO
105325;desc;82001;6;INCL;jan2020;400;21;LEI 10486/02;LANCAMENTO RETROATIVO
105325;desc;82001;6;INCL;jan2020;400;21;LEI 10486/02;LANCAMENTO RETROATIVO
105325;desc;82001;6;INCL;jan2020;400;21;LEI 10486/02;LANCAMENTO RETROATIVO
105325;desc;82001;6;INCL;jan2020;400;21;LEI 10486/02;LANCAMENTO RETROATIVO
105325;desc;82001;6;INCL;jan2020;400;21;LEI 10486/02;LANCAMENTO RETROATIVO
105325;desc;82001;6;INCL;jan2020;400;21;LEI 10486/02;LANCAMENTO RETROATIVO
105325;desc;82001;6;INCL;jan2020;400;21;LEI 10486/02;LANCAMENTO RETROATIVO
105325;desc;82001;6;INCL;jan2020;400;21;LEI 10486/02;LANCAMENTO RETROATIVO
105325;desc;82001;6;INCL;jan2020;400;21;LEI 10486/02;LANCAMENTO RETROATIVO
105325;desc;82001;6;INCL;jan2020;400;21;LEI 10486/02;LANCAMENTO RETROATIVO
105325;desc;82001;6;INCL;jan2020;400;21;LEI 10486/02;LANCAMENTO RETROATIVO
105325;desc;82001;6;INCL;jan2020;400;21;LEI 10486/02;LANCAMENTO RETROATIVO
105325;desc;82001;6;INCL;jan2020;400;21;LEI 10486/02;LANCAMENTO RETROATIVO
105325;desc;82001;6;INCL;jan2020;400;21;LEI 10486/02;LANCAMENTO RETROATIVO
105325;desc;82001;6;INCL;jan2020;400;21;LEI 10486/02;LANCAMENTO RETROATIVO
105325;desc;82001;6;INCL;jan2020;400;21;LEI 10486/02;LANCAMENTO RETROATIVO
105325;desc;82001;6;INCL;jan2020;400;21;LEI 10486/02;LANCAMENTO RETROATIVO
105325;desc;82001;6;INCL;jan2020;400;21;LEI 10486/02;LANCAMENTO RETROATIVO
